line_item_id,assessment_id,seq,line_type,revenue_head_code,revenue_head_id,tax_period,description,amount_minor,allocated_minor,allocation_priority
LI-000191,AS-00108,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-05,Principal - Water & Sewerage Bill - Domestic,217000,0,50
LI-000192,AS-00108,2,SURCHARGE,W06188,RH-WASA-W06188,2026-05,Surcharge - Water & Sewerage Bill - Domestic,30000,0,30
LI-000193,AS-00108,3,FEE,W06115,RH-WASA-W06115,2026-05,Fee - Water & Sewerage Bill - Domestic,44000,0,10
LI-000194,AS-00109,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-06,Principal - Water & Sewerage Bill - Domestic,217000,0,50
LI-000195,AS-00109,2,SURCHARGE,W06188,RH-WASA-W06188,2026-06,Surcharge - Water & Sewerage Bill - Domestic,15000,0,30
LI-000196,AS-00109,3,FEE,W06115,RH-WASA-W06115,2026-06,Fee - Water & Sewerage Bill - Domestic,44000,0,10
LI-000197,AS-00110,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,217000,0,50
LI-000198,AS-00110,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,44000,0,10
LI-000199,AS-00111,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,229000,0,50
LI-000200,AS-00111,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,46000,0,10
LI-000201,AS-00112,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,241000,0,50
LI-000202,AS-00112,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,48000,0,10
LI-000203,AS-00113,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,253000,0,50
LI-000204,AS-00113,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,50000,0,10
LI-000205,AS-00114,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,265000,0,50
LI-000206,AS-00114,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,52000,0,10
LI-000207,AS-00115,1,PRINCIPAL,W06110,RH-WASA-W06110,2026-07,Principal - Water & Sewerage Bill - Domestic,277000,0,50
LI-000208,AS-00115,2,FEE,W06115,RH-WASA-W06115,2026-07,Fee - Water & Sewerage Bill - Domestic,54000,0,10
LI-000209,AS-00116,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,0,50
LI-000210,AS-00117,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000211,AS-00118,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000212,AS-00119,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000213,AS-00120,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000214,AS-00121,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,0,50
LI-000215,AS-00122,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000216,AS-00123,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000217,AS-00124,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000218,AS-00125,1,PRINCIPAL,N09110,RH-NADRA-N09110,2026-07,Principal - CNIC Issuance / Renewal Fee,150000,150000,50
LI-000219,AS-00126,1,PRINCIPAL,R08110,RH-BOR-R08110,2026-07,Principal - Stamp Duty - Property Instrument,14500000,14500000,50
LI-000220,AS-00126,2,FEE,R08115,RH-BOR-R08115,2026-07,Fee - Stamp Duty - Property Instrument,900000,900000,10
LI-000221,AS-00127,1,PRINCIPAL,R08110,RH-BOR-R08110,2026-07,Principal - Stamp Duty - Property Instrument,17500000,17500000,50
LI-000222,AS-00127,2,FEE,R08115,RH-BOR-R08115,2026-07,Fee - Stamp Duty - Property Instrument,980000,980000,10
LI-000223,AS-00128,1,PRINCIPAL,R08110,RH-BOR-R08110,2026-07,Principal - Stamp Duty - Property Instrument,20500000,20500000,50
LI-000224,AS-00128,2,FEE,R08115,RH-BOR-R08115,2026-07,Fee - Stamp Duty - Property Instrument,1060000,1060000,10
LI-000225,AS-00129,1,PRINCIPAL,R08110,RH-BOR-R08110,2026-07,Principal - Stamp Duty - Property Instrument,23500000,23500000,50
LI-000226,AS-00129,2,FEE,R08115,RH-BOR-R08115,2026-07,Fee - Stamp Duty - Property Instrument,1140000,1140000,10
LI-000227,AS-00130,1,PRINCIPAL,R08110,RH-BOR-R08110,2026-07,Principal - Stamp Duty - Property Instrument,26500000,0,50
LI-000228,AS-00130,2,FEE,R08115,RH-BOR-R08115,2026-07,Fee - Stamp Duty - Property Instrument,1220000,0,10
LI-000229,AS-00131,1,PRINCIPAL,R08110,RH-BOR-R08110,2026-07,Principal - Stamp Duty - Property Instrument,29500000,29500000,50
LI-000230,AS-00131,2,FEE,R08115,RH-BOR-R08115,2026-07,Fee - Stamp Duty - Property Instrument,1300000,1300000,10
LI-000231,AS-00132,1,PRINCIPAL,J07110,RH-LHC-J07110,2026-07,Principal - Court Fee - Civil Filing,1500000,0,50
LI-000232,AS-00133,1,PRINCIPAL,J07110,RH-LHC-J07110,2026-07,Principal - Court Fee - Civil Filing,2000000,2000000,50
LI-000233,AS-00134,1,PRINCIPAL,J07110,RH-LHC-J07110,2026-07,Principal - Court Fee - Civil Filing,2500000,2500000,50
LI-000234,AS-00135,1,PRINCIPAL,J07110,RH-LHC-J07110,2026-07,Principal - Court Fee - Civil Filing,3000000,3000000,50
LI-000235,AS-00136,1,PRINCIPAL,J07110,RH-LHC-J07110,2026-07,Principal - Court Fee - Civil Filing,3500000,3500000,50
LI-000236,AS-00137,1,PRINCIPAL,R08910,RH-BOR-R08910,2026-07,Principal - Tender / Earnest Money Deposit,50000000,50000000,50
LI-000237,AS-00138,1,PRINCIPAL,R08910,RH-BOR-R08910,2026-07,Principal - Tender / Earnest Money Deposit,75000000,75000000,50
LI-000238,AS-00139,1,PRINCIPAL,R08910,RH-BOR-R08910,2026-07,Principal - Tender / Earnest Money Deposit,100000000,100000000,50
LI-000239,AS-00140,1,PRINCIPAL,J07910,RH-LHC-J07910,2026-07,Principal - Security Deposit - Litigation,25000000,25000000,50
LI-000240,AS-00141,1,PRINCIPAL,E04220,RH-ETPB-E04220,2026-27,Principal - Professional Tax - Businesses,1200000,0,50
LI-000241,AS-00141,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Professional Tax - Businesses,40000,0,30
LI-000242,AS-00142,1,PRINCIPAL,E04220,RH-ETPB-E04220,2026-27,Principal - Professional Tax - Businesses,1500000,1500000,50
LI-000243,AS-00142,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Professional Tax - Businesses,50000,50000,30
LI-000244,AS-00143,1,PRINCIPAL,E04220,RH-ETPB-E04220,2026-27,Principal - Professional Tax - Businesses,1800000,1800000,50
LI-000245,AS-00143,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Professional Tax - Businesses,60000,60000,30
LI-000246,AS-00144,1,PRINCIPAL,E04220,RH-ETPB-E04220,2026-27,Principal - Professional Tax - Businesses,2100000,2100000,50
LI-000247,AS-00144,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Professional Tax - Businesses,70000,70000,30
LI-000248,AS-00145,1,PRINCIPAL,E04220,RH-ETPB-E04220,2026-27,Principal - Professional Tax - Businesses,2400000,2400000,50
LI-000249,AS-00145,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Professional Tax - Businesses,80000,80000,30
LI-000250,AS-00146,1,PRINCIPAL,E04220,RH-ETPB-E04220,2026-27,Principal - Professional Tax - Businesses,2700000,2700000,50
LI-000251,AS-00146,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Professional Tax - Businesses,90000,90000,30
LI-000252,AS-00147,1,PRINCIPAL,E04291,RH-ETPB-E04291,2026-27,Principal - Property Tax - Urban Immovable,2200000,2200000,50
LI-000253,AS-00147,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Property Tax - Urban Immovable,110000,110000,30
LI-000254,AS-00148,1,PRINCIPAL,E04291,RH-ETPB-E04291,2026-27,Principal - Property Tax - Urban Immovable,2750000,2750000,50
LI-000255,AS-00148,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Property Tax - Urban Immovable,140000,140000,30
LI-000256,AS-00149,1,PRINCIPAL,E04291,RH-ETPB-E04291,2026-27,Principal - Property Tax - Urban Immovable,3300000,3300000,50
LI-000257,AS-00149,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Property Tax - Urban Immovable,170000,170000,30
LI-000258,AS-00150,1,PRINCIPAL,E04291,RH-ETPB-E04291,2026-27,Principal - Property Tax - Urban Immovable,3850000,3850000,50
LI-000259,AS-00150,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Property Tax - Urban Immovable,200000,200000,30
LI-000260,AS-00151,1,PRINCIPAL,E04291,RH-ETPB-E04291,2026-27,Principal - Property Tax - Urban Immovable,4400000,4400000,50
LI-000261,AS-00151,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Property Tax - Urban Immovable,230000,230000,30
LI-000262,AS-00152,1,PRINCIPAL,E04291,RH-ETPB-E04291,2026-27,Principal - Property Tax - Urban Immovable,4950000,4950000,50
LI-000263,AS-00152,2,SURCHARGE,E04288,RH-ETPB-E04288,2026-27,Surcharge - Property Tax - Urban Immovable,260000,260000,30
LI-000264,AS-00153,1,PRINCIPAL,B01102,RH-FBR-B01102,2025-26,Principal - Income Tax - Individuals & AOPs,8500000,0,50
LI-000265,AS-00153,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Individuals & AOPs,90000,0,30
LI-000266,AS-00154,1,PRINCIPAL,B01102,RH-FBR-B01102,2025-26,Principal - Income Tax - Individuals & AOPs,10200000,10200000,50
LI-000267,AS-00154,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Individuals & AOPs,112000,112000,30
LI-000268,AS-00155,1,PRINCIPAL,B01102,RH-FBR-B01102,2025-26,Principal - Income Tax - Individuals & AOPs,11900000,11900000,50
LI-000269,AS-00155,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Individuals & AOPs,134000,134000,30
LI-000270,AS-00156,1,PRINCIPAL,B01102,RH-FBR-B01102,2025-26,Principal - Income Tax - Individuals & AOPs,13600000,13600000,50
LI-000271,AS-00156,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Individuals & AOPs,156000,156000,30
LI-000272,AS-00157,1,PRINCIPAL,B01102,RH-FBR-B01102,2025-26,Principal - Income Tax - Individuals & AOPs,15300000,15300000,50
LI-000273,AS-00157,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Individuals & AOPs,178000,178000,30
LI-000274,AS-00158,1,PRINCIPAL,B01102,RH-FBR-B01102,2025-26,Principal - Income Tax - Individuals & AOPs,17000000,17000000,50
LI-000275,AS-00158,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Individuals & AOPs,200000,200000,30
LI-000276,AS-00159,1,PRINCIPAL,B01102,RH-FBR-B01102,2025-26,Principal - Income Tax - Individuals & AOPs,18700000,18700000,50
LI-000277,AS-00159,2,SURCHARGE,B02388,RH-FBR-B02388,2025-26,Surcharge - Income Tax - Individuals & AOPs,222000,222000,30
LI-000278,AS-00160,1,PRINCIPAL,E04215,RH-ETPB-E04215,2026-07,Principal - Motor Vehicle Registration - New,7800000,7800000,50
LI-000279,AS-00161,1,PRINCIPAL,E04215,RH-ETPB-E04215,2026-07,Principal - Motor Vehicle Registration - New,9000000,0,50
LI-000280,AS-00162,1,PRINCIPAL,E04215,RH-ETPB-E04215,2026-07,Principal - Motor Vehicle Registration - New,10200000,10200000,50
LI-000281,AS-00163,1,PRINCIPAL,E04215,RH-ETPB-E04215,2026-07,Principal - Motor Vehicle Registration - New,11400000,11400000,50
LI-000282,AS-00164,1,PRINCIPAL,B08110,RH-FBR-B08110,2026-07,Principal - Dishonoured Instrument Charge,50000,0,50
